Datetime,Actual LSTM,Predicted LSTM,Actual Transformer,Predicted Transformer
2024-04-06 17:00:00+00:00,50.0,32.549034,50.0,32.63998
2024-04-06 18:00:00+00:00,40.0,45.396694,40.0,46.586937
2024-04-06 19:00:00+00:00,22.0,38.90624,22.0,39.11521
2024-04-06 20:00:00+00:00,12.0,24.980074,12.0,25.82882
2024-04-06 21:00:00+00:00,7.0,16.588205,7.0,17.825708
2024-04-06 22:00:00+00:00,5.0,11.024723,5.0,12.464701
2024-04-06 23:00:00+00:00,5.0,8.220259,5.0,9.836426
2024-04-07 00:00:00+00:00,3.0,7.711153,3.0,9.00308
2024-04-07 01:00:00+00:00,3.0,3.8264294,3.0,7.7564487
2024-04-07 02:00:00+00:00,5.0,5.7638683,5.0,8.892435
2024-04-07 03:00:00+00:00,6.0,9.304283,6.0,10.075432
2024-04-07 04:00:00+00:00,5.0,10.319956,5.0,11.020836
2024-04-07 05:00:00+00:00,3.999999999999993,9.965315,3.999999999999993,10.529211
2024-04-07 06:00:00+00:00,6.0,9.183504,6.0,8.429991
2024-04-07 07:00:00+00:00,5.0,9.808065,5.0,10.976618
2024-04-07 08:00:00+00:00,5.0,11.237614,5.0,10.90733
2024-04-07 09:00:00+00:00,6.0,11.706711,6.0,11.415987
2024-04-07 10:00:00+00:00,3.999999999999993,12.316515,3.999999999999993,12.646843
2024-04-07 11:00:00+00:00,7.0,11.8794365,7.0,12.562712
2024-04-07 12:00:00+00:00,9.0,14.0130825,9.0,14.201931
2024-04-07 13:00:00+00:00,13.000000000000004,15.869236,13.000000000000004,15.660732
2024-04-07 14:00:00+00:00,10.999999999999996,19.34688,10.999999999999996,19.747623
2024-04-07 15:00:00+00:00,21.0,20.084772,21.0,21.701483
2024-04-07 16:00:00+00:00,29.0,27.467522,29.0,27.29651
2024-04-07 17:00:00+00:00,31.0,32.50723,31.0,32.37135
2024-04-07 18:00:00+00:00,48.0,32.913197,48.0,33.254025
2024-04-07 19:00:00+00:00,63.0,45.991886,63.0,45.771683
2024-04-07 20:00:00+00:00,38.0,56.49074,38.0,56.513916
2024-04-07 21:00:00+00:00,37.0,38.331833,37.0,39.593594
2024-04-07 22:00:00+00:00,50.0,35.661575,50.0,36.51346
2024-04-07 23:00:00+00:00,46.0,43.977695,46.0,44.470936
2024-04-08 00:00:00+00:00,20.0,39.053825,20.0,39.472244
2024-04-08 01:00:00+00:00,20.0,16.704687,20.0,22.10264
2024-04-08 02:00:00+00:00,6.0,18.630482,6.0,22.808353
2024-04-08 03:00:00+00:00,1.000000000000007,9.856949,1.000000000000007,17.327429
2024-04-08 04:00:00+00:00,0.0,6.9386196,0.0,11.379019
2024-04-08 05:00:00+00:00,3.999999999999993,6.065916,3.999999999999993,9.80394
2024-04-08 06:00:00+00:00,8.0,7.453165,8.0,9.341734
2024-04-08 07:00:00+00:00,3.0,10.426361,3.0,11.89056
2024-04-08 08:00:00+00:00,1.000000000000007,8.63835,1.000000000000007,11.717653
2024-04-08 09:00:00+00:00,3.999999999999993,6.377287,3.999999999999993,9.983671
2024-04-08 10:00:00+00:00,6.0,8.594912,6.0,10.861427
2024-04-08 11:00:00+00:00,3.0,11.86063,3.0,13.256474
2024-04-08 12:00:00+00:00,1.000000000000007,10.759365,1.000000000000007,12.147978
2024-04-08 13:00:00+00:00,3.0,9.513733,3.0,11.332985
2024-04-08 14:00:00+00:00,2.0,10.660324,2.0,13.063938
2024-04-08 15:00:00+00:00,3.0,10.925823,3.0,13.780849
2024-04-08 16:00:00+00:00,9.0,13.216913,9.0,17.14759
